<<<<<<< HEAD
﻿credit_in_millions,Period
1.5767,1/1/2007
1.474,2/1/2007
1.5194,3/1/2007
1.469,4/1/2007
1.3731,5/1/2007
1.3964,6/1/2007
1.3379,7/1/2007
1.3539,8/1/2007
1.2971,9/1/2007
1.2798,10/1/2007
1.323,11/1/2007
1.5311,12/1/2007
1.2453,1/1/2008
1.2704,2/1/2008
1.1944,3/1/2008
1.3165,4/1/2008
1.3034,5/1/2008
1.2342,6/1/2008
1.2547,7/1/2008
1.2517,8/1/2008
1.3441,9/1/2008
1.2882,10/1/2008
1.2621,11/1/2008
1.5466,12/1/2008
1.628,1/1/2009
1.5945,2/1/2009
1.5367,3/1/2009
1.4029,4/1/2009
1.3992,5/1/2009
1.374,6/1/2009
1.3774,7/1/2009
1.4339,8/1/2009
1.4286,9/1/2009
1.3224,10/1/2009
1.5424,11/1/2009
1.3859,12/1/2009
1.3942,1/1/2010
1.2864,2/1/2010
1.3831,3/1/2010
1.2614,4/1/2010
1.3945,5/1/2010
1.2417,6/1/2010
1.2304,7/1/2010
1.2798,8/1/2010
1.2542,9/1/2010
1.2298,10/1/2010
1.1476,11/1/2010
1.0185,12/1/2010
1.2894,1/1/2011
1.1287,2/1/2011
1.2986,3/1/2011
1.2599,4/1/2011
1.307,5/1/2011
1.2401,6/1/2011
1.189,7/1/2011
1.2398,8/1/2011
1.2121,9/1/2011
1.2414,10/1/2011
1.2292,11/1/2011
1.3089,12/1/2011
1.436,1/1/2012
1.3899,2/1/2012
1.4077,3/1/2012
1.3724,4/1/2012
1.3618,5/1/2012
1.3645,6/1/2012
1.2797,7/1/2012
1.2809,8/1/2012
1.2827,9/1/2012
1.3177,10/1/2012
1.2659,11/1/2012
1.329,12/1/2012
1.4226,1/1/2013
1.6139,2/1/2013
1.3652,3/1/2013
1.412,4/1/2013
1.445,5/1/2013
1.4124,6/1/2013
1.5293,7/1/2013
1.4943,8/1/2013
1.5432,9/1/2013
1.4458,10/1/2013
1.4417,11/1/2013
1.6427,12/1/2013
1.6598,1/1/2014
1.5012,2/1/2014
1.5939,3/1/2014
1.5537,4/1/2014
1.4922,5/1/2014
1.4976,6/1/2014
1.4542,7/1/2014
1.431,8/1/2014
1.4322,9/1/2014
1.412,10/1/2014
1.3402,11/1/2014
1.4737,12/1/2014
1.3268,1/1/2015
1.4183,2/1/2015
1.4471,3/1/2015
1.4002,4/1/2015
1.389,5/1/2015
1.3838,6/1/2015
1.4127,7/1/2015
1.4132,8/1/2015
1.413,9/1/2015
1.4155,10/1/2015
1.3652,11/1/2015
1.5124,12/1/2015
1.4724,1/1/2016
1.5183,2/1/2016
1.8439,3/1/2016
1.6018,4/1/2016
1.5385,5/1/2016
1.5225,6/1/2016
1.4564,7/1/2016
1.459,8/1/2016
1.4255,9/1/2016
1.5388,10/1/2016
1.5908,11/1/2016
1.5592,12/1/2016
1.5623,1/1/2017
1.5772,2/1/2017
1.4769,3/1/2017
1.6279,4/1/2017
1.5218,5/1/2017
1.5924,6/1/2017
1.5573,7/1/2017
1.4991,8/1/2017
1.4974,9/1/2017
1.4403,10/1/2017
1.4286,11/1/2017
1.4175,12/1/2017
1.5832,1/1/2018
1.5596,2/1/2018
1.5444,3/1/2018
1.4047,4/1/2018
1.4387,5/1/2018
1.3932,6/1/2018
1.247,7/1/2018
1.2516,8/1/2018
1.1699,9/1/2018
1.2265,10/1/2018
1.2054,11/1/2018
1.3944,12/1/2018
1.4951,1/1/2019
1.5078,2/1/2019
1.5319,3/1/2019
1.4266,4/1/2019
1.4549,5/1/2019
1.4041,6/1/2019
1.3447,7/1/2019
1.3229,8/1/2019
1.2803,9/1/2019
1.3553,10/1/2019
1.2031,11/1/2019
1.4299,12/1/2019
1.4013,1/1/2020
1.1902,2/1/2020
1.4679,3/1/2020
1.4679,4/1/2020
1.493,5/1/2020
1.4981,6/1/2020
1.4266,7/1/2020
1.423,8/1/2020
1.4411,9/1/2020
1.5384,10/1/2020
1.5641,11/1/2020
1.512,12/1/2020
1.6598,1/1/2021
1.8006,2/1/2021
1.5748,3/1/2021
1.5208,4/1/2021
1.4648,5/1/2021
1.5768,6/1/2021
1.5406,7/1/2021
1.6167,8/1/2021
1.4976,9/1/2021
1.5487,10/1/2021
1.5661,11/1/2021
1.4588,12/1/2021
1.3736,1/1/2022
1.5673,2/1/2022
1.4353,3/1/2022
1.3836,4/1/2022
1.5019,5/1/2022
1.4658,6/1/2022
1.4349,7/1/2022
1.4317,8/1/2022
1.3807,9/1/2022
1.3387,10/1/2022
1.3927,11/1/2022
1.5004,12/1/2022
1.4857,1/1/2023
1.5399,2/1/2023
1.5728,3/1/2023
1.5662,4/1/2023
1.5346,5/1/2023
1.6419,6/1/2023
1.6212,7/1/2023
1.6602,8/1/2023
1.7361,9/1/2023
1.7598,10/1/2023
1.6976,11/1/2023
1.7413,12/1/2023
1.7153,1/1/2024
1.9771,2/1/2024
1.7507,3/1/2024
1.8469,4/1/2024
1.779,5/1/2024
1.7768,6/1/2024
1.8469,7/1/2024
1.7927,8/1/2024
1.6382,9/1/2024
1.6076,10/1/2024
1.5243,11/1/2024
1.6907,12/1/2024
1.6118,1/1/2025
1.7844,2/1/2025
1.4813,3/1/2025
1.5701,4/1/2025
1.5197,5/1/2025
1.5314,6/1/2025
1.514,7/1/2025
1.4806,8/1/2025
1.5087,9/1/2025
1.4884,10/1/2025
1.4799,11/1/2025
1.689,12/1/2025
1.4578,1/1/2026
1.655,2/1/2026
1.6672,3/1/2026
1.7422,4/1/2026
1.5768,5/1/2026
1.5187,6/1/2026
1.503,7/1/2026
1.5668,8/1/2026
1.5495,9/1/2026
1.4138,10/1/2026
1.3668,11/1/2026
1.4303,12/1/2026
1.5831,1/1/2027
1.5057,2/1/2027
1.7404,3/1/2027
1.6777,4/1/2027
1.7108,5/1/2027
1.6484,6/1/2027
1.6697,7/1/2027
1.7143,8/1/2027
1.6161,9/1/2027
1.6117,10/1/2027
1.7991,11/1/2027
1.6239,12/1/2027
1.8073,1/1/2028
1.8957,2/1/2028
1.8998,3/1/2028
1.6836,4/1/2028
1.6767,5/1/2028
1.7001,6/1/2028
1.734,7/1/2028
1.647,8/1/2028
1.6772,9/1/2028
1.5884,10/1/2028
1.7029,11/1/2028
1.5477,12/1/2028
1.8018,1/1/2029
1.6737,2/1/2029
1.6813,3/1/2029
1.6712,4/1/2029
1.7065,5/1/2029
1.6492,6/1/2029
1.6519,7/1/2029
1.7313,8/1/2029
1.7523,9/1/2029
1.8382,10/1/2029
1.6895,11/1/2029
1.8472,12/1/2029
1.709,1/1/2030
1.8343,2/1/2030
1.8075,3/1/2030
1.7051,4/1/2030
1.5553,5/1/2030
1.5818,6/1/2030
1.5917,7/1/2030
1.6252,8/1/2030
1.6442,9/1/2030
1.7288,10/1/2030
1.8712,11/1/2030
1.6192,12/1/2030
1.7334,1/1/2031
1.6254,2/1/2031
1.8029,3/1/2031
1.8425,4/1/2031
1.7684,5/1/2031
1.7833,6/1/2031
1.7683,7/1/2031
1.7358,8/1/2031
1.7978,9/1/2031
1.8041,10/1/2031
1.8391,11/1/2031
1.7346,12/1/2031
1.5678,1/1/2032
1.7332,2/1/2032
1.7042,3/1/2032
1.6288,4/1/2032
1.661,5/1/2032
1.751,6/1/2032
1.7329,7/1/2032
1.7342,8/1/2032
1.7448,9/1/2032
1.7885,10/1/2032
1.756,11/1/2032
1.8803,12/1/2032
1.995,1/1/2033
1.772,2/1/2033
1.7779,3/1/2033
1.8447,4/1/2033
1.7201,5/1/2033
1.6485,6/1/2033
1.6397,7/1/2033
1.662,8/1/2033
1.6886,9/1/2033
1.6781,10/1/2033
1.6283,11/1/2033
1.5983,12/1/2033
1.3857,1/1/2034
1.4885,2/1/2034
1.8736,3/1/2034
1.5938,4/1/2034
1.6122,5/1/2034
1.6425,6/1/2034
1.6907,7/1/2034
1.6705,8/1/2034
1.6429,9/1/2034
1.7801,10/1/2034
1.7814,11/1/2034
1.6746,12/1/2034
1.7066,1/1/2035
1.679,2/1/2035
1.6905,3/1/2035
1.765,4/1/2035
1.6979,5/1/2035
1.7852,6/1/2035
1.755,7/1/2035
1.8109,8/1/2035
1.8194,9/1/2035
1.7529,10/1/2035
1.7827,11/1/2035
1.7287,12/1/2035
1.8069,1/1/2036
1.8191,2/1/2036
1.9581,3/1/2036
1.9398,4/1/2036
1.8693,5/1/2036
1.845,6/1/2036
1.8398,7/1/2036
1.7706,8/1/2036
1.6835,9/1/2036
1.7379,10/1/2036
1.8793,11/1/2036
1.6005,12/1/2036
1.5817,1/1/2037
1.6087,2/1/2037
1.7026,3/1/2037
1.7633,4/1/2037
1.6852,5/1/2037
1.7576,6/1/2037
1.7393,7/1/2037
1.7271,8/1/2037
1.7109,9/1/2037
1.746,10/1/2037
1.5968,11/1/2037
1.6596,12/1/2037
1.5339,1/1/2038
1.5346,2/1/2038
1.6329,3/1/2038
1.8446,4/1/2038
1.8332,5/1/2038
1.815,6/1/2038
1.7995,7/1/2038
1.7805,8/1/2038
1.8377,9/1/2038
1.8133,10/1/2038
1.8198,11/1/2038
1.5766,12/1/2038
1.6984,1/1/2039
1.7468,2/1/2039
1.725,3/1/2039
1.6721,4/1/2039
1.8252,5/1/2039
1.7949,6/1/2039
1.7773,7/1/2039
1.7716,8/1/2039
1.7968,9/1/2039
1.7898,10/1/2039
1.9404,11/1/2039
1.8092,12/1/2039
1.8047,1/1/2040
1.5911,2/1/2040
1.8806,3/1/2040
1.9117,4/1/2040
1.9049,5/1/2040
1.8734,6/1/2040
1.8099,7/1/2040
1.9097,8/1/2040
1.8983,9/1/2040
1.8962,10/1/2040
1.8006,11/1/2040
1.9419,12/1/2040
=======
﻿credit_in_millions
1.9419
1.8006
1.8962
1.8983
1.9097
1.8099
1.8734
1.9049
1.9117
1.8806
1.5911
1.8047
1.8092
1.9404
1.7898
1.7968
1.7716
1.7773
1.7949
1.8252
1.6721
1.725
1.7468
1.6984
1.5766
1.8198
1.8133
1.8377
1.7805
1.7995
1.815
1.8332
1.8446
1.6329
1.5346
1.5339
1.6596
1.5968
1.746
1.7109
1.7271
1.7393
1.7576
1.6852
1.7633
1.7026
1.6087
1.5817
1.6005
1.8793
1.7379
1.6835
1.7706
1.8398
1.845
1.8693
1.9398
1.9581
1.8191
1.8069
1.7287
1.7827
1.7529
1.8194
1.8109
1.755
1.7852
1.6979
1.765
1.6905
1.679
1.7066
1.6746
1.7814
1.7801
1.6429
1.6705
1.6907
1.6425
1.6122
1.5938
1.8736
1.4885
1.3857
1.5983
1.6283
1.6781
1.6886
1.662
1.6397
1.6485
1.7201
1.8447
1.7779
1.772
1.995
1.8803
1.756
1.7885
1.7448
1.7342
1.7329
1.751
1.661
1.6288
1.7042
1.7332
1.5678
1.7346
1.8391
1.8041
1.7978
1.7358
1.7683
1.7833
1.7684
1.8425
1.8029
1.6254
1.7334
1.6192
1.8712
1.7288
1.6442
1.6252
1.5917
1.5818
1.5553
1.7051
1.8075
1.8343
1.709
1.8472
1.6895
1.8382
1.7523
1.7313
1.6519
1.6492
1.7065
1.6712
1.6813
1.6737
1.8018
1.5477
1.7029
1.5884
1.6772
1.647
1.734
1.7001
1.6767
1.6836
1.8998
1.8957
1.8073
1.6239
1.7991
1.6117
1.6161
1.7143
1.6697
1.6484
1.7108
1.6777
1.7404
1.5057
1.5831
1.4303
1.3668
1.4138
1.5495
1.5668
1.503
1.5187
1.5768
1.7422
1.6672
1.655
1.4578
1.689
1.4799
1.4884
1.5087
1.4806
1.514
1.5314
1.5197
1.5701
1.4813
1.7844
1.6118
1.6907
1.5243
1.6076
1.6382
1.7927
1.8469
1.7768
1.779
1.8469
1.7507
1.9771
1.7153
1.7413
1.6976
1.7598
1.7361
1.6602
1.6212
1.6419
1.5346
1.5662
1.5728
1.5399
1.4857
1.5004
1.3927
1.3387
1.3807
1.4317
1.4349
1.4658
1.5019
1.3836
1.4353
1.5673
1.3736
1.4588
1.5661
1.5487
1.4976
1.6167
1.5406
1.5768
1.4648
1.5208
1.5748
1.8006
1.6598
1.512
1.5641
1.5384
1.4411
1.423
1.4266
1.4981
1.493
1.4679
1.4679
1.1902
1.4013
1.4299
1.2031
1.3553
1.2803
1.3229
1.3447
1.4041
1.4549
1.4266
1.5319
1.5078
1.4951
1.3944
1.2054
1.2265
1.1699
1.2516
1.247
1.3932
1.4387
1.4047
1.5444
1.5596
1.5832
1.4175
1.4286
1.4403
1.4974
1.4991
1.5573
1.5924
1.5218
1.6279
1.4769
1.5772
1.5623
1.5592
1.5908
1.5388
1.4255
1.459
1.4564
1.5225
1.5385
1.6018
1.8439
1.5183
1.4724
1.5124
1.3652
1.4155
1.413
1.4132
1.4127
1.3838
1.389
1.4002
1.4471
1.4183
1.3268
1.4737
1.3402
1.412
1.4322
1.431
1.4542
1.4976
1.4922
1.5537
1.5939
1.5012
1.6598
1.6427
1.4417
1.4458
1.5432
1.4943
1.5293
1.4124
1.445
1.412
1.3652
1.6139
1.4226
1.329
1.2659
1.3177
1.2827
1.2809
1.2797
1.3645
1.3618
1.3724
1.4077
1.3899
1.436
1.3089
1.2292
1.2414
1.2121
1.2398
1.189
1.2401
1.307
1.2599
1.2986
1.1287
1.2894
1.0185
1.1476
1.2298
1.2542
1.2798
1.2304
1.2417
1.3945
1.2614
1.3831
1.2864
1.3942
1.3859
1.5424
1.3224
1.4286
1.4339
1.3774
1.374
1.3992
1.4029
1.5367
1.5945
1.628
1.5466
1.2621
1.2882
1.3441
1.2517
1.2547
1.2342
1.3034
1.3165
1.1944
1.2704
1.2453
1.5311
1.323
1.2798
1.2971
1.3539
1.3379
1.3964
1.3731
1.469
1.5194
1.474
1.5767
1.3785
1.443
1.2932
1.3119
1.3068
1.3283
1.3585
1.4271
1.4193
1.35
1.4617
1.4191
1.6143
1.4064
1.4056
1.363
1.3374
1.2857
1.3294
1.268
1.2223
1.3541
1.2033
1.2713
1.2623
1.3356
1.1757
1.1859
1.1144
1.181
1.1643
1.1707
1.2435
1.3339
1.2417
1.2717
1.2235
1.3714
1.23
1.2978
1.2529
1.2848
1.3585
1.3479
1.3931
1.422
1.3495
1.175
1.2017
1.0679
0.929
1.0685
1.0217
1.0265
1.0371
0.9883
1.0888
0.8717
0.989
1.093
1.0216
0.9661
0.9875
1.1281
1.044
1.1166
1.1453
1.1804
1.189
1.2207
1.1437
1.2312
1.0135
1.044
1.028
1.0683
1.1242
1.1306
1.0736
1.0865
1.0691
1.0602
0.8563
0.9158
>>>>>>> 90919b17bb085e08b3ef3513c7d5ca002f8f61fa
